{'loss': 2.0707, 'learning_rate': 0.00013302540415704387, 'epoch': 0.2}
{'loss': 2.0068, 'learning_rate': 0.00019264781491002572, 'epoch': 0.4}
{'loss': 1.9824, 'learning_rate': 0.00017784061696658098, 'epoch': 0.6}
{'loss': 1.9667, 'learning_rate': 0.00016303341902313624, 'epoch': 0.8}
{'loss': 1.9825, 'learning_rate': 0.00014822622107969153, 'epoch': 1.0}
{'loss': 1.9849, 'learning_rate': 0.0001334190231362468, 'epoch': 1.2}
{'loss': 1.9861, 'learning_rate': 0.00011861182519280208, 'epoch': 1.4}
{'loss': 2.0352, 'learning_rate': 0.00010380462724935734, 'epoch': 1.6}
{'loss': 2.0792, 'learning_rate': 8.89974293059126e-05, 'epoch': 1.8}
{'loss': 2.1183, 'learning_rate': 7.419023136246786e-05, 'epoch': 2.0}
{'loss': 2.0678, 'learning_rate': 5.938303341902314e-05, 'epoch': 1.11}
{'loss': 1.9757, 'learning_rate': 4.457583547557841e-05, 'epoch': 1.31}
{'loss': 1.966, 'learning_rate': 2.9768637532133676e-05, 'epoch': 1.51}
{'loss': 1.9304, 'learning_rate': 1.5012853470437018e-05, 'epoch': 1.71}
{'loss': 1.955, 'learning_rate': 2.056555269922879e-07, 'epoch': 1.91}
{'train_runtime': 23268.3676, 'train_samples_per_second': 0.743, 'train_steps_per_second': 0.186, 'train_loss': 2.007118341576962, 'epoch': 1.91}
